Mean(z_rock_height),species_cat_01
3.094793317,Focus Species
2.063468755,Focus Species
3.322897598,Focus Species
2.833462184,Focus Species
2.92963643,Focus Species
3.003147117,Focus Species
1.892856686,Focus Species
0.87353,Focus Species
1.88174,Focus Species
3.249999999,Focus Species
1.939999997,Focus Species
1.29648,Focus Species
1.46001411,Focus Species
1.780000001,Focus Species
1.84,Focus Species
0.1702,Focus Species
2.616959341,Focus Species
1.951161709,Focus Species
1.83312,Focus Species
3.739845781,Focus Species
3.579703988,Focus Species
2.273368989,Focus Species
2.66623911,Focus Species
1.00042,Focus Species
1.97217683,Focus Species
1.901360781,Focus Species
3.102241143,Focus Species
-0.1597335,Focus Species
1.79292278,Focus Species
2.810292087,Focus Species
0.5097562,Focus Species
2.38496782,Focus Species
1.1,Focus Species
3.064391177,Focus Species
2.17,Focus Species
2.41688,Focus Species
-0.3975,Focus Species
3.042249511,Focus Species
2.10990177,Focus Species
0.567,Focus Species
1.895,Focus Species
2.02531925,Focus Species
3.074178143,Focus Species
2.535015661,Focus Species
0.420000001,Focus Species
3.552500001,Focus Species
0.759,Focus Species
3.207165469,Focus Species
2.61074,Focus Species
3.080000001,Focus Species
1.695,Focus Species
3.305331168,Focus Species
3.028619564,Focus Species
3.212930838,Focus Species
1.28279,Focus Species
3.288868012,Focus Species
0.8661166,Focus Species
1.43020328,Focus Species
1.70486975,Focus Species
2.86667,Focus Species
1.45645,Focus Species
2.460000004,Focus Species
2.02,Focus Species
1.27,Focus Species
2.068109059,Focus Species
1.53486243,Focus Species
2.380000002,Focus Species
0.7349,Focus Species
2.353785094,Focus Species
2.313899342,Focus Species
1.01213,Focus Species
2.3286,Focus Species
1.93304,Focus Species
1.29714,Focus Species
3.027776285,Focus Species
0.7352,Focus Species
2.8139641,Focus Species
0.23,Focus Species
1.825,Focus Species
1.901360781,Focus Species
2.61074,Focus Species
2.758589799,Focus Species
3.235211538,Focus Species
4.093402797,Focus Species
0.90501,Focus Species
3.066824,Focus Species
3.084766686,Focus Species
3.659037343,Focus Species
3.565712404,Focus Species
2.033315185,Focus Species
0.4867,Focus Species
3.137522178,Focus Species
0.6202,Focus Species
3.489999999,Focus Species
3.758122596,Focus Species
2.234648792,Focus Species
2.000028591,Focus Species
2.409622842,Focus Species
2.05,Focus Species
2.891676196,Focus Species
2.358723483,Focus Species
1.923368631,Focus Species
0.545745846,Focus Species
2.397451914,Focus Species
1.38667,Focus Species
1.28425,Focus Species
3.03,Focus Species
1.24667,Focus Species
2.321178039,Focus Species
2.11474,Focus Species
1.54737121,Focus Species
2.709999997,Focus Species
2.216823051,Focus Species
3.079726051,Focus Species
1.483484347,Focus Species
1.26477,Focus Species
2.054462499,Focus Species
2.102487773,Focus Species
3.612135613,Focus Species
2.189999999,Focus Species
2.469999999,Focus Species
3.064430134,Focus Species
3.253491145,Focus Species
1.40647,Focus Species
0.7795184,Focus Species
2.33,Focus Species
1.37802,Focus Species
2.45722972,Focus Species
1.36744,Focus Species
1.904602892,Focus Species
2.170313845,Focus Species
1.92477883,Focus Species
2.44674,Focus Species
0.99011,Focus Species
1.39669,Focus Species
1.49302,Focus Species
1.12847,Focus Species
3.210344178,Focus Species
0.952117646,Focus Species
2.989999997,Focus Species
2.9325,Focus Species
1.94669364,Focus Species
0.4544402,Focus Species
3.331515677,Focus Species
3.380625928,Focus Species
2.769999999,Focus Species
2.72332,Focus Species
1.90667,Focus Species
3.13667,Focus Species
3.725171196,Focus Species
0.7632,Focus Species
2.430119283,Focus Species
3.227432319,Focus Species
3.055902509,Focus Species
2.143978397,Focus Species
2.571695652,Focus Species
2.944712814,Focus Species
1.49,Focus Species
1.222500001,Focus Species
2.61265,Focus Species
2.93667,Focus Species
1.87,Focus Species
0.98857,Focus Species
1.46354,Focus Species
0.96520758,Focus Species
2.550697435,Focus Species
3.166729298,Focus Species
1.31068,Focus Species
1.97667,Focus Species
3.05473,Focus Species
2.175208889,Focus Species
2.22669596,Focus Species
0.7901,Focus Species
2.864891503,Focus Species
2.61074,Focus Species
0.2,Focus Species
0.620000001,Focus Species
0.98083886,Focus Species
2.950000002,Focus Species
2.254026297,Focus Species
2.830846008,Focus Species
2.9125,Focus Species
2.86877,Focus Species
1.45974939,Focus Species
0.485,Focus Species
2.299999999,Focus Species
2.245922842,Focus Species
2.249999999,Focus Species
2.55273,Focus Species
0.695,Focus Species
2.56,Focus Species
1.78966,Focus Species
1.38,Focus Species
3.73416338,Focus Species
3.137518371,Focus Species
2.323100036,Focus Species
0.7920277,Focus Species
1.286790131,Focus Species
3.105107424,Focus Species
1.841713118,Focus Species
2.209301754,Focus Species
2.033650722,Focus Species
2.070267507,Focus Species
1.032499999,Focus Species
3.219541799,Focus Species
2.594125444,Focus Species
1.87503,Focus Species
2.381769062,Focus Species
2.839999999,Focus Species
2.920126284,Focus Species
1.443375521,Focus Species
2.14515,Focus Species
0.894311314,Focus Species
2.133598231,Focus Species
2.290232038,Focus Species
2.89674127,Focus Species
3.380625928,Focus Species
2.986674327,Focus Species
2.630022658,Focus Species
2.134,Focus Species
2.063468755,Focus Species
2.917479603,Focus Species
1.235,Focus Species
1.09923172,Focus Species
2.912500001,Focus Species
1.35415,Focus Species
1.04575264,Focus Species
2.66667,Focus Species
0.785,Focus Species
3.247389137,Focus Species
2.574179785,Focus Species
2.75,Focus Species
2.254079409,Focus Species
3.34891504,Focus Species
2.660000002,Focus Species
2.87171,Focus Species
1.762402731,Focus Species
2.357862929,Focus Species
1.706978768,Focus Species
1.744896319,Focus Species
3.810510152,Focus Species
2.86,Focus Species
2.001399397,Focus Species
2.62667,Focus Species
3.384146495,Focus Species
2.706824156,Focus Species
1.44744,Focus Species
3.19,Focus Species
1.57,Focus Species
1.997778719,Focus Species
1.91769,Focus Species
2.033650722,Focus Species
-0.265,Focus Species
2.940384083,Focus Species
1.84653,Focus Species
2.682188231,Focus Species
1.40005,Focus Species
1.66018369,Focus Species
3.37770869,Focus Species
0.7433,Focus Species
1.21172,Focus Species
2.47976,Focus Species
0.96016032,Focus Species
2.294055597,Focus Species
1.78018752,Focus Species
2.014806158,Focus Species
2.330336304,Focus Species
1.23341434,Focus Species
2.190204199,Focus Species
3.449096639,Focus Species
0.524971185,Focus Species
1.115,Focus Species
1.920000001,Focus Species
3.301735067,Focus Species
2.19598157,Focus Species
2.56868,Focus Species
2.290439236,Focus Species
2.296027835,Focus Species
2.41667,Focus Species
2.667846824,Focus Species
3.268984619,Focus Species
1.63994,Focus Species
2.56517,Focus Species
3.299999998,Focus Species
3.137518371,Focus Species
1.59617361,Focus Species
3.10704974,Focus Species
2.883908123,Focus Species
1.09510448,Focus Species
2.25298907,Focus Species
2.634044068,Focus Species
2.19291496,Focus Species
2.11988793,Focus Species
3.592499503,Focus Species
1.21366,Focus Species
0.33,Focus Species
3.649999998,Focus Species
1.60988526,Focus Species
2.197634862,Focus Species
1.01,Focus Species
1.38002,Focus Species
3.226810222,Focus Species
1.15495,Focus Species
2.160325103,Focus Species
4.010132807,Focus Species
2.460000004,Focus Species
-0.2241,Focus Species
3.46,Focus Species
1.849999999,Focus Species
2.05787503,Focus Species
0.705,Focus Species
2.72667,Focus Species
1.235,Focus Species
3.00322575,Focus Species
2.02,Focus Species
0.739999997,Focus Species
2.22523641,Focus Species
1.1,Focus Species
2.744823488,Focus Species
1.89639,Focus Species
2.03472677,Focus Species
1.67833,Focus Species
2.609824775,Focus Species
2.863273227,Focus Species
0.50498886,Focus Species
2.20515112,Focus Species
3.190000001,Focus Species
2.65667,Focus Species
1.976019825,Focus Species
2.05764,Focus Species
3.557240209,Focus Species
1.88129,Focus Species
0.695,Focus Species
3.282299515,Focus Species
1.73168,Focus Species
1.724227387,Focus Species
1.905,Focus Species
2.9026,Focus Species
2.19598157,Focus Species
3.180804726,Focus Species
3.230993355,Focus Species
0.3617776,Focus Species
1.22667,Focus Species
3.210344178,Focus Species
2.381769062,Focus Species
2.43882,Focus Species
2.521217029,Focus Species
3.838549906,Focus Species
2.212016477,Focus Species
2.38,Focus Species
0.936206413,Focus Species
1.47486367,Focus Species
3.564690525,Focus Species
2.13,Focus Species
3.138038856,Focus Species
3.099999998,Focus Species
1.535,Focus Species
2.9125,Focus Species
2.395373074,Focus Species
2.27876,Focus Species
0.99611452,Focus Species
3.71,Focus Species
3.429237699,Focus Species
3.09667,Focus Species
2.23667,Focus Species
2.48663,Focus Species
3.268861685,Focus Species
2.900000001,Focus Species
2.25011,Focus Species
2.666044213,Focus Species
2.22523641,Focus Species
3.172728657,Focus Species
3.622734529,Focus Species
2.323100036,Focus Species
2.215221796,Focus Species
1.03097,Focus Species
3.414489624,Focus Species
1.95667,Focus Species
2.01435,Focus Species
3.301926412,Focus Species
3.206016433,Focus Species
1.744535574,Focus Species
2.330336304,Focus Species
2.1485,Focus Species
1.59482916,Focus Species
3.02192,Focus Species
2.46339,Focus Species
2.245922842,Focus Species
2.315250668,Focus Species
3.274989533,Focus Species
3.502499999,Focus Species
2.207554547,Focus Species
0.360633092,Focus Species
3.486237086,Focus Species
2.180088249,Focus Species
3.562193058,Focus Species
0.215,Focus Species
2.17005,Focus Species
1.79023925,Focus Species
2.830059421,Focus Species
1.955,Focus Species
1.75400428,Focus Species
2.608828702,Focus Species
3.139703386,Focus Species
1.87665,Focus Species
0.515,Focus Species
3.08667,Focus Species
3.190242655,Focus Species
2.16,Focus Species
1.1,Focus Species
2.60667,Focus Species
-0.635,Focus Species
1.75,Focus Species
0.6799656,Focus Species
-0.3289,Focus Species
2.04145,Focus Species
2.08667,Focus Species
0.605,Focus Species
2.57176,Focus Species
2.115199604,Focus Species
1.61007,Focus Species
1.795050864,Focus Species
1.22169,Focus Species
1.16494,Focus Species
1.03724,Focus Species
0.85501,Focus Species
0.8517791,Focus Species
1.629972178,Focus Species
3.059582009,Focus Species
0.37,Focus Species
1.697130548,Focus Species
1.762402731,Focus Species
-0.2671626,Focus Species
2.21019745,Focus Species
2.360033277,Focus Species
1.88727668,Focus Species
3.181220442,Focus Species
1.77659,Focus Species
1.0,Focus Species
2.547153492,Focus Species
0.33,Focus Species
2.38533681,Focus Species
1.95892,Focus Species
2.002951529,Focus Species
1.35282,Focus Species
2.520104541,Focus Species
1.76166,Focus Species
2.129409686,Focus Species
2.54083,Focus Species
3.265036554,Focus Species
2.815037435,Focus Species
2.556656078,Focus Species
2.62667,Focus Species
2.83,Focus Species
2.149999998,Focus Species
3.433165136,Focus Species
1.86266152,Focus Species
2.889955716,Focus Species
1.939999997,Focus Species
2.188515465,Focus Species
2.969758482,Focus Species
3.092392826,Focus Species
2.1826669,Focus Species
3.3,Focus Species
3.22,Focus Species
2.381769062,Focus Species
1.267215474,Focus Species
2.875153236,Focus Species
2.869999999,Focus Species
2.990000001,Focus Species
3.009633688,Focus Species
0.6455563,Focus Species
0.8084722,Focus Species
2.23992795,Focus Species
3.234159828,Focus Species
2.011766018,Focus Species
2.238123726,Focus Species
2.097282545,Focus Species
1.129999997,Focus Species
1.87492,Focus Species
2.31662,Focus Species
1.36744,Focus Species
2.37654,Focus Species
0.685827,Focus Species
2.650000002,Focus Species
1.89653082,Focus Species
0.398095886,Focus Species
2.721601558,Focus Species
2.52168,Focus Species
1.11672795,Focus Species
1.1476611,Focus Species
1.80998351,Focus Species
3.156008397,Focus Species
1.85,Focus Species
1.69832,Focus Species
1.28279,Focus Species
2.82,Focus Species
-0.1256538,Focus Species
1.440700921,Focus Species
2.14667,Focus Species
3.08092,Focus Species
0.0117,Focus Species
2.207351908,Focus Species
2.89457204,Focus Species
2.774628542,Focus Species
2.535015661,Focus Species
1.98800638,Focus Species
0.8807,Focus Species
2.43657,Focus Species
2.889462002,Focus Species
3.225230361,Focus Species
2.35,Focus Species
2.17667,Focus Species
2.24609507,Focus Species
2.279925675,Focus Species
2.730058043,Focus Species
2.107226225,Focus Species
2.591777184,Focus Species
2.96496,Focus Species
3.212354568,Focus Species
2.624935168,Focus Species
2.80145,Focus Species
2.978074715,Focus Species
3.102826282,Focus Species
1.94693,Focus Species
2.854783512,Focus Species
3.197823618,Focus Species
2.538059902,Focus Species
3.263393639,Focus Species
2.77667,Focus Species
2.62998894,Focus Species
2.842072001,Focus Species
1.14,Focus Species
2.889999996,Focus Species
1.31611,Focus Species
2.52885,Focus Species
1.99,Focus Species
1.61007,Focus Species
2.196618002,Focus Species
3.198369908,Focus Species
1.83992,Focus Species
2.06667,Focus Species
2.02118,Focus Species
1.61826,Focus Species
2.75667,Focus Species
3.075323369,Focus Species
2.39344,Focus Species
2.709999997,Focus Species
2.50500725,Focus Species
1.77513042,Focus Species
1.15495,Focus Species
0.3367,Focus Species
0.7838,Focus Species
3.090000002,Focus Species
2.03427,Focus Species
1.285,Focus Species
1.07526,Focus Species
1.83312,Focus Species
1.990000001,Focus Species
2.86667,Focus Species
1.860000001,Focus Species
2.360033277,Focus Species
3.636593824,Focus Species
2.145238095,Focus Species
3.342614241,Focus Species
0.3887,Focus Species
1.22,Focus Species
1.805267088,Focus Species
2.063468755,Focus Species
2.068109059,Focus Species
2.65667,Focus Species
3.759785957,Focus Species
2.309980153,Focus Species
2.69701,Focus Species
2.17279,Focus Species
0.7132,Focus Species
2.65667,Focus Species
2.099241056,Focus Species
0.1708,Focus Species
2.448004137,Focus Species
2.895483009,Focus Species
3.358280884,Focus Species
0.856791946,Focus Species
2.658023066,Focus Species
1.99286698,Focus Species
0.4544402,Focus Species
0.7352,Focus Species
3.310269682,Focus Species
1.890000002,Focus Species
2.962033403,Focus Species
1.237256482,Focus Species
2.499999998,Focus Species
3.006797455,Focus Species
1.70659,Focus Species
3.05808993,Focus Species
3.000107961,Focus Species
2.107226225,Focus Species
4.044423056,Focus Species
1.37618,Focus Species
1.83312,Focus Species
2.991134108,Focus Species
