Mean(z_rock_height),species_cat_02
1.97667,Pollicipes polymerus
1.144493675,Egregia menziesii
3.225230361,Mytilus californianus
2.290232038,Balanus glandula
1.69667,Mytilus californianus
1.065,Mytilus californianus
3.333474671,Balanus glandula
0.984063171,Anthopleura elegantissima
2.76851549,Mytilus californianus
2.132952323,Anthopleura elegantissima
-0.0190952,Egregia menziesii
0.165,Egregia menziesii
0.429699615,Egregia menziesii
1.23501,Pollicipes polymerus
0.945,Pollicipes polymerus
3.552677915,Balanus glandula
3.090000002,Balanus glandula
0.730000002,Egregia menziesii
0.597255,Anthopleura elegantissima
3.800288738,Balanus glandula
0.1811,Egregia menziesii
2.27271,Mytilus californianus
3.194841369,Pollicipes polymerus
1.604170663,Anthopleura elegantissima
1.218286541,Pollicipes polymerus
3.03773,Mytilus californianus
2.970102062,Balanus glandula
0.48,Balanus glandula
1.262458015,Egregia menziesii
1.98013061,Balanus glandula
1.05508,Pollicipes polymerus
0.675,Pollicipes polymerus
1.07553,Anthopleura elegantissima
3.73282859,Balanus glandula
2.789598371,Mytilus californianus
3.355881878,Balanus glandula
0.7242927,Pollicipes polymerus
1.36913104,Pollicipes polymerus
-0.15,Egregia menziesii
2.27667,Pollicipes polymerus
2.27667,Mytilus californianus
0.84313738,Mytilus californianus
3.719208924,Mytilus californianus
2.92667,Mytilus californianus
3.249999999,Mytilus californianus
0.728038818,Egregia menziesii
2.962698767,Pollicipes polymerus
3.264058489,Mytilus californianus
2.27982193,Anthopleura elegantissima
1.51986205,Balanus glandula
1.056870902,Egregia menziesii
2.26572,Balanus glandula
3.699999999,Balanus glandula
0.90497092,Anthopleura elegantissima
1.860000001,Mytilus californianus
2.658066557,Mytilus californianus
0.355,Egregia menziesii
3.290607282,Pollicipes polymerus
1.97217683,Balanus glandula
0.6917898,Anthopleura elegantissima
1.78,Anthopleura elegantissima
2.938250066,Mytilus californianus
2.920123168,Mytilus californianus
2.706619739,Balanus glandula
2.897992022,Balanus glandula
3.870146748,Balanus glandula
2.148759264,Anthopleura elegantissima
1.88008392,Mytilus californianus
0.94518246,Egregia menziesii
2.679999996,Balanus glandula
2.61074,Mytilus californianus
2.570336136,Balanus glandula
1.97165142,Balanus glandula
0.37,Egregia menziesii
1.6236772,Pollicipes polymerus
0.629819949,Egregia menziesii
0.840000001,Egregia menziesii
1.949999997,Mytilus californianus
1.36165,Pollicipes polymerus
3.064744252,Mytilus californianus
2.353785094,Balanus glandula
1.8546892,Balanus glandula
1.77758013,Balanus glandula
1.955,Mytilus californianus
3.085689721,Pollicipes polymerus
0.47,Egregia menziesii
1.025,Pollicipes polymerus
1.87492259,Pollicipes polymerus
0.888122067,Anthopleura elegantissima
0.87353,Egregia menziesii
3.175269329,Pollicipes polymerus
2.852919527,Mytilus californianus
2.940384083,Balanus glandula
0.1225,Egregia menziesii
0.756317656,Egregia menziesii
2.780533377,Pollicipes polymerus
0.165,Pollicipes polymerus
2.41,Balanus glandula
2.04667,Pollicipes polymerus
0.3538743,Anthopleura elegantissima
2.540000001,Pollicipes polymerus
1.289853281,Egregia menziesii
1.692105364,Anthopleura elegantissima
2.048911802,Balanus glandula
1.482500001,Anthopleura elegantissima
0.965,Pollicipes polymerus
2.19989273,Anthopleura elegantissima
1.512499999,Anthopleura elegantissima
0.1131,Egregia menziesii
0.92,Egregia menziesii
0.1444901,Egregia menziesii
0.0987521,Egregia menziesii
2.54265349,Pollicipes polymerus
0.4386,Pollicipes polymerus
0.48,Balanus glandula
1.77868099,Pollicipes polymerus
3.314140946,Balanus glandula
2.721601558,Balanus glandula
1.529006253,Balanus glandula
0.90497092,Anthopleura elegantissima
1.74667,Pollicipes polymerus
4.107380825,Balanus glandula
1.4325,Egregia menziesii
2.750025121,Mytilus californianus
0.499807172,Egregia menziesii
3.202500001,Balanus glandula
0.4843,Egregia menziesii
2.383442837,Mytilus californianus
1.91375835,Anthopleura elegantissima
1.779806153,Egregia menziesii
0.6467,Pollicipes polymerus
1.05858,Egregia menziesii
0.5445,Egregia menziesii
2.744823488,Pollicipes polymerus
1.175,Balanus glandula
3.305331168,Mytilus californianus
2.315078281,Anthopleura elegantissima
1.74667,Mytilus californianus
2.185,Mytilus californianus
1.883395837,Pollicipes polymerus
1.30832,Mytilus californianus
2.175208889,Balanus glandula
1.22498,Pollicipes polymerus
0.94,Balanus glandula
0.78,Egregia menziesii
0.4455,Egregia menziesii
1.07,Pollicipes polymerus
1.77731249,Anthopleura elegantissima
2.822655898,Anthopleura elegantissima
3.299999998,Pollicipes polymerus
3.559999999,Anthopleura elegantissima
1.07,Pollicipes polymerus
2.38,Mytilus californianus
1.62155,Pollicipes polymerus
2.139999997,Balanus glandula
2.50004372,Pollicipes polymerus
2.787010384,Mytilus californianus
0.23,Egregia menziesii
2.102914672,Anthopleura elegantissima
2.01140338,Balanus glandula
1.35282,Mytilus californianus
2.273368989,Anthopleura elegantissima
3.831246405,Balanus glandula
1.53486243,Balanus glandula
0.449697508,Egregia menziesii
0.86,Anthopleura elegantissima
1.1831503,Pollicipes polymerus
0.888122067,Anthopleura elegantissima
1.19933779,Anthopleura elegantissima
3.470000001,Pollicipes polymerus
1.237256482,Egregia menziesii
2.046949018,Balanus glandula
2.39016861,Mytilus californianus
1.727441977,Mytilus californianus
3.01283861,Mytilus californianus
1.67833,Egregia menziesii
1.84,Anthopleura elegantissima
2.129999999,Balanus glandula
3.459999999,Anthopleura elegantissima
