Mean(z_rock_height),species_cat_02
1.19,Egregia menziesii
0.525,Egregia menziesii
0.13,Egregia menziesii
1.194835683,Egregia menziesii
0.59,Egregia menziesii
0.1414334,Egregia menziesii
0.524971185,Egregia menziesii
1.19518,Egregia menziesii
0.5445,Egregia menziesii
0.4455,Egregia menziesii
0.373011174,Egregia menziesii
0.669999997,Egregia menziesii
1.39,Egregia menziesii
0.485743402,Egregia menziesii
0.5902,Egregia menziesii
-0.0499,Egregia menziesii
0.205,Egregia menziesii
1.364081634,Anthopleura elegantissima
2.209301754,Anthopleura elegantissima
1.75985298,Anthopleura elegantissima
1.2525,Anthopleura elegantissima
1.4325,Anthopleura elegantissima
0.91003,Anthopleura elegantissima
0.789222178,Anthopleura elegantissima
1.25008,Anthopleura elegantissima
1.55910521,Anthopleura elegantissima
2.0741865,Anthopleura elegantissima
1.44,Anthopleura elegantissima
0.87,Anthopleura elegantissima
0.654367,Anthopleura elegantissima
2.353785094,Anthopleura elegantissima
0.7764321,Anthopleura elegantissima
3.433165136,Anthopleura elegantissima
1.23341037,Anthopleura elegantissima
1.89266243,Anthopleura elegantissima
2.05192548,Anthopleura elegantissima
0.7982996,Anthopleura elegantissima
0.35,Anthopleura elegantissima
0.5028858,Anthopleura elegantissima
2.426325851,Anthopleura elegantissima
1.53,Anthopleura elegantissima
1.333435989,Anthopleura elegantissima
1.11672795,Anthopleura elegantissima
1.10987,Anthopleura elegantissima
1.234415721,Anthopleura elegantissima
0.8084888,Anthopleura elegantissima
0.88851909,Anthopleura elegantissima
3.020000001,Anthopleura elegantissima
0.6668367,Anthopleura elegantissima
1.85,Anthopleura elegantissima
3.146781645,Anthopleura elegantissima
2.911116774,Anthopleura elegantissima
3.180000001,Anthopleura elegantissima
0.654367,Anthopleura elegantissima
1.647511901,Anthopleura elegantissima
2.216702646,Anthopleura elegantissima
1.35049822,Anthopleura elegantissima
1.48223784,Anthopleura elegantissima
1.1424897,Anthopleura elegantissima
1.9100127,Anthopleura elegantissima
1.62191074,Anthopleura elegantissima
0.99017368,Anthopleura elegantissima
2.969170422,Anthopleura elegantissima
1.64,Anthopleura elegantissima
0.6207336,Anthopleura elegantissima
0.872089729,Anthopleura elegantissima
0.5962912,Anthopleura elegantissima
1.026755202,Anthopleura elegantissima
1.232960823,Anthopleura elegantissima
0.97862423,Anthopleura elegantissima
1.64515293,Anthopleura elegantissima
3.32521084,Anthopleura elegantissima
1.799999998,Anthopleura elegantissima
1.958542881,Anthopleura elegantissima
0.94094255,Anthopleura elegantissima
